cluster_id,algorithm,suggested_name,manual_name,cluster_quality,route_policy,notes
lab-cluster-190,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-284,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-183,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-20,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-62,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-39,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-107,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-120,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-63,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-25,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-196,bm25_token_overlap_baseline,review_signal_or_discussion_potential_discussion_signal,,,,
lab-cluster-103,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-112,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-150,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-169,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-21,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-214,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-239,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-30,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-337,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-53,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-89,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-74,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-73,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-16,bm25_token_overlap_baseline,retain_context_only_event_announcement,,,,
lab-cluster-67,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-78,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-69,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-77,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-108,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-100,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-105,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-123,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-127,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-129,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-13,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-130,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-140,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-146,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-152,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-157,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-164,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-17,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-171,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-173,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-176,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-177,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-178,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-182,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-184,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-186,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-188,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-191,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-200,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-201,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-218,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-22,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-225,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-226,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-227,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-231,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-232,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-234,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-247,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-249,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-271,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-273,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-282,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-305,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-311,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-314,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-322,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-323,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-338,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-341,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-346,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-350,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-353,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-354,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-357,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-37,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-5,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-52,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-56,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-57,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-88,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-90,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-94,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-95,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-26,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-115,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-122,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-134,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-213,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-269,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-27,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-310,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-65,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-141,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-32,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-35,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-99,bm25_token_overlap_baseline,retain_context_only_weak_signal,,,,
lab-cluster-10,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-104,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-106,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-109,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-11,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
