lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-00001,snapshot-2e5c3804a503,25753,25753,-1001738612591,-1001738612591,,,,,,2026-06-30T11:54:02+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,hrov.net,,,120,true,false,false,"Рад что вам понравилось видео, наконец-то я могу переодеваться в костюмы как будто бы ироничнно, а не потому что мне это хочется Мне надо, чтобы вы поняли: я не хочу клеить на профессию HR/рекрутера ярлык и обобщать Мне такая вражда кажется иррациональной. Внутреннего HR ОМ я нап"
msg-00297,snapshot-2e5c3804a503,25438,25438,-1001213290552,-1001213290552,,1,1,,,2026-06-30T11:02:42+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,108,false,false,false,"Ручной performance-маркетинг — прошлый век? Коллеги из Plurio.ai проведут прямой эфир, посвященный внедрению AI в performance-маркетинг. Спикер Макс Епифанов расскажет, как устроена работа UA-команды в проекте TripleTen с использованием нейросетей. В фокусе внимания будет разбор "
msg-00398,snapshot-2e5c3804a503,25337,25337,-1001213290552,-1001213290552,,1,1,,,2026-06-30T10:41:17+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,GREAT,106,false,false,false,"B2B-маркетинг и долгосрочные отношения с клиентами На вебинаре эксперты обсудят, почему долгосрочные отношения становятся ключевым фактором успеха в B2B, особенно для регионального бизнеса. Будет рассмотрен вопрос построения доверия с клиентами и использования инструментов для ук"
msg-00440,snapshot-2e5c3804a503,25292,25292,-1001213290552,-1001213290552,,1,1,,,2026-06-30T10:33:39+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,GREAT,93,false,false,false,"B2B-маркетинг и долгосрочные отношения с клиентами На вебинаре эксперты обсудят, почему долгосрочные отношения становятся ключевым фактором успеха в B2B, особенно для регионального бизнеса. Будет рассмотрен вопрос построения доверия с клиентами и использования инструментов для ук"
msg-00508,snapshot-2e5c3804a503,25218,25218,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-30T10:10:00+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,29,false,false,false,"Спасиб огромное) Не успеваешь сделать резюме как уже меняются алгоритмы, буквально недавно рекомендовалось писать в ""обо мне"" контакты и стек внизу после достижений. Надо бы сделать несколько резюме на разных акках и тестить кнш, как лучше"
msg-00528,snapshot-2e5c3804a503,25196,25196,-1001213290552,-1001213290552,,1,1,,,2026-06-30T10:02:31+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,109,false,false,false,"ИИ: Не вместо, а вместе. Как приручить технологии без бунта в команде? Внедрение нейросетей требует перехода от простых экспериментов к решению конкретных бизнес-задач. Главная цель — сделать технологии инструментом эффективности, а не просто набором платных подписок. На вебинаре"
msg-00533,snapshot-2e5c3804a503,25190,25190,-1001213290552,-1001213290552,,8681,8681,,,2026-06-30T10:01:02+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,ZNWR,121,false,false,false,Бренд-менеджер в ZNWR #офис #Москва #вакансия ZNWR — российский бренд одежды. Подробности: • Город: Москва • Офис Задачи: • Участвовать в формировании и развитии бренд-стратегии • Следить за целостностью позиционирования бренда и коммуникаций • Развивать бренд-платформу и ключевы
msg-00729,snapshot-2e5c3804a503,24988,24988,-1001213290552,-1001213290552,,8681,8681,,,2026-06-30T09:17:41+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,195,false,false,false,"SMM-менеджер в S&P Digital #офис #Москва #вакансия S&P Digital — музыкальный лейбл. Подробности: • Работа в режиме 4/1 (четыре дня в офисе, один день удаленно), график с 10:00 до 18:30. • Работа в офисе в центре Москвы. • Трудоустройство по ТК РФ. • Возможность посещать концерты,"
msg-00766,snapshot-2e5c3804a503,24951,24951,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-30T09:01:56+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,27,false,false,false,"Я выкладывал резюме 1 июня Полностью его заполнил, подтвердил навыки Несколько Hr написали с 5 по 10 июня, потом тишина Параллельно откликался вручную, писал сопроводы - ноль конверсии (у меня неэффективное резюме) Личная статка)"
msg-00858,snapshot-2e5c3804a503,24852,24852,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-30T08:48:23+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,19,false,false,false,"сколько примерно кто может посоветовать гипотезы по резюме тестить? например, если вообще не конвертит - 1 недели тестов достаточно и можно новый акк делать?"
msg-01620,snapshot-2e5c3804a503,24051,24051,-1001672173012,-1001672173012,,,,,,2026-06-30T07:10:01+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,88,false,false,false,"Выспался. Создал чат-бота. Заработал +17.000 рублей. Пока ты едешь на «любимую работу» к 8ч утра, другие запускают этого бота, следуют пошаговой инструкции и получают +17.000 рублей за несколько часов работы. Эти люди не программисты и у них даже нет высшего образования. Они прос"
msg-01854,snapshot-2e5c3804a503,23808,23808,-1001469962443,-1001469962443,,50854,50854,ВАКАНСИИ,,2026-06-30T06:58:50+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,40,false,false,false,"Добрый день, ищу парттайм маркетолога на b2b проект. У решения выходит значимое обновление, о котором нужно максимально громко заявить и наладить лидген. Маркетологу предстоит подобрать площадки и каналы, поработать с текущими клиентами, возможно (!) подобрать партнеров. Финальна"
msg-01993,snapshot-2e5c3804a503,23655,23655,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-30T06:18:19+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,24,false,false,false,"Вопрос, насколько большая вероятность, что при небольшом промежутке между откликом старым резюме и новым на одну и ту же вакансию тебя спалят? (почта, телефон, др,опыт, фамилия другие)"
