lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-00104,snapshot-2e5c3804a503,25646,25646,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-30T11:34:38+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,49,false,false,false,"Добро пожаловать в стаю, пользователь! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг"
msg-00108,snapshot-2e5c3804a503,25640,25640,-1002000358371,-1002000358371,,6457131008,6457131008,,,2026-06-30T11:34:08+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, пользователь! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг"
msg-00151,snapshot-2e5c3804a503,25598,25598,-1001204511390,-1001204511390,,1,1,,,2026-06-30T11:30:09+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,94,false,false,false,"Boris Sorokin, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о "
msg-00152,snapshot-2e5c3804a503,25595,25595,-1001750092257,-1001750092257,,32302432256,32302432256,,,2026-06-30T11:29:52+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @viktoriatsygankova! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди он"
msg-00170,snapshot-2e5c3804a503,25574,25574,-1001870785614,-1001870785614,,1,1,,,2026-06-30T11:27:08+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, пользователь! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг"
msg-00198,snapshot-2e5c3804a503,25545,25545,-1001750348316,-1001750348316,,533337210880,533337210880,,,2026-06-30T11:15:48+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,53,false,false,false,"@Timsisss Добро пожаловать! Этот чат станет для тебя теплой ламповой пещерой, где ты сможешь пообщаться на (почти) любые темы. Не стесняйся задавать вопросы, но возможно стоит сразу пойти в тематический чат. Если что, мы перенаправим тебя в нужную микростаю, где ты получишь необх"
msg-00213,snapshot-2e5c3804a503,25531,25531,-1001204511390,-1001204511390,,1,1,,,2026-06-30T11:14:56+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,21,false,false,false,"⛔ dim 96 a nf, тебя заблокировали (Lols Ban) Пользователь отмечен к глобальной блокировке в боте (Lols ban) — подробнее о том, что делать в таком случае, можно почитать по ссылке."
msg-00228,snapshot-2e5c3804a503,25511,25511,-1001204511390,-1001204511390,,1,1,,,2026-06-30T11:13:12+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,28,false,false,false,"⛔ Александра, тебя заблокировали (antifolder) Пользователь попытался вступить через общую папку с чатами — приём, которым часто пользуются спамеры для массовых входов сразу в несколько сотен чатов. Согласно настройкам группы такой способ вступления заблокирован."
msg-00235,snapshot-2e5c3804a503,25502,25502,-1001204511390,-1001204511390,,1,1,,,2026-06-30T11:11:53+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,93,false,false,false,"Александра, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о ваш"
msg-00291,snapshot-2e5c3804a503,25447,25447,-1001204511390,-1001204511390,,1,1,,,2026-06-30T11:03:36+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,28,false,false,false,"⛔ Маргарита, тебя заблокировали (antifolder) Пользователь попытался вступить через общую папку с чатами — приём, которым часто пользуются спамеры для массовых входов сразу в несколько сотен чатов. Согласно настройкам группы такой способ вступления заблокирован."
