lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-00037,snapshot-2e5c3804a503,25715,25715,-1001758943128,-1001758943128,,1381146558464,1381146558464,,,2026-06-30T11:44:50+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,guide_intent;question_or_qna_shape;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.875,workflow_howto_marker,teletype.in,,,93,true,false,false,"Инструкция для новоприбывших : О чем канал? Мой авторский бизнес / life блог. Основной упор - crypto. Работаю во всех направлениях индустрии. Приватных каналов у меня нет. Что со всем этим делать? Во-первых, рекомендую ознакомиться с моим гайдом, в котором подробно разобраны осно"
msg-00157,snapshot-2e5c3804a503,25588,25588,-1001034124010,-1001034124010,,278163095552,278163095552,,,2026-06-30T11:28:50+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,resource_or_tool_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.880,workflow_howto_marker,,,BAZIONI,132,false,false,false,"SMMщикам будет интересно: начали разбираться с Яндекс Ритмом. Сначала кажется: окей, ещё одна площадка для брендового контента. Но у Ритма есть особенность — он работает не только как отдельное приложение. Контент из Ритма может появляться внутри экосистемы Яндекса — под поисково"
msg-00318,snapshot-2e5c3804a503,25418,25418,-1001750348316,-1001750348316,,533335113728,533335113728,,,2026-06-30T11:00:42+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;question_or_qna_shape;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,ANSWER,0.875,workflow_howto_marker,,,,16,false,false,false,"Всем привет! Может кто-нибудь рассказать, насколько подробно на собесах спрашивают про то, как работает Java под капотом?"
msg-00361,snapshot-2e5c3804a503,25371,25371,-1003919536687,-1003919536687,,6654,6654,404 - АВАРИИ,,2026-06-30T10:48:35+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,7,false,true,false,Да мы просто переведем r-api на api
msg-00366,snapshot-2e5c3804a503,25367,25367,-1003919536687,-1003919536687,,6654,6654,404 - АВАРИИ,,2026-06-30T10:48:01+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;question_or_qna_shape;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,9,false,true,false,а может вы сделаете балансировщик автоматический с r-api на api и наоборот?
msg-00428,snapshot-2e5c3804a503,25304,25304,-1003919536687,-1003919536687,,2877,2877,Предложения и идеи,,2026-06-30T10:35:48+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;question_or_qna_shape;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,50,false,true,false,"А можно добавить (или подсказать) где это: Что бы можно было посмотреть, сколько денег съедает каждая модель: GPT, GLM, Minimax И так далее. Детально? Там сейчас вроде немного есть, но постоянно сбрасывается и обновляется. Просто я вот заметил, что модель может казаться выгоднее "
msg-00615,snapshot-2e5c3804a503,25106,25106,-1003919536687,-1003919536687,,4807,4807,Проекты от вайбкодеров для вайбкодеров,,2026-06-30T09:49:26+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,github.com,,,53,true,true,false,"Vibemode Overlay v2.4 уже в main. Что обновилось: - исправил восстановление после сна: overlay больше не должен залипать в “нужен вход”, если сессия жива; - вернул корректное время сброса 5ч/7д из реальных API-полей Vibemode после ночной вайбсессии МиниМакса )); - дополировали Wi"
msg-00924,snapshot-2e5c3804a503,24787,24787,-1002157562411,-1002157562411,,,,,,2026-06-30T08:41:00+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.915,workflow_howto_marker,,,,183,false,false,true,"Яндекс /** Постамат - автоматическая станция приёма/выдачи посылок. В маркете формируются заказы, и хочется добавить возможность получения через постамат. Запускаем MVP: небольшая аудитория пользователей, несколько постаматов в Москве. При заказе пользователь сможет выбрать, что "
msg-01943,snapshot-2e5c3804a503,23710,23710,-1003695549430,-1003695549430,,13551796224,13551796224,,,2026-06-30T06:38:51+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,9,false,true,false,Если база имен нормальная за такое будут платить за API
msg-02122,snapshot-2e5c3804a503,23511,23511,-1003919536687,-1003919536687,,6654,6654,404 - АВАРИИ,,2026-06-30T03:53:09+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;status_or_outage_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,9,false,true,false,"Так это ошибка не API, не надо об этом в этот раздел писать)"
